date,ISIN,ticker,name,Country,event_type,rank_final,rank_prev,ric
2015-11-03,GB00B1FP8915,BBA.L,BFP BBA AVIATION,GB,ADD,504,636,BBA.L
2015-11-03,CH0267291224,SRCG.SW,BVSS Z SUNRISE,CH,DELETE,632,600,SRCG.S
2015-11-03,DK0060477503,TOP.CO,BP TOPDANMARK,DK,DELETE,625,585,TOP.CO
2015-11-03,GRS419003009,OPAr.AT,OPAr. OPAP GR,AT,DELETE,622,599,OPAr.AT
2015-11-03,GB00B3Y2J508,GFRD.L,BYJ A GALLIFORD TRY,GB,DELETE,621,588,GFRD.L
2015-11-03,GB00BLT1Y088,SAGAG.L,BLTY C SAGA,GB,DELETE,607,598,SAGAG.L
2015-11-03,SE0006993986,BETS-B.ST,BXVMY HO BETSSON B SE,SE,DELETE,606,575,BETSb.ST
2015-11-03,GB00BBG9VN75,AVV.L,BBGVN AVEVA GRP,GB,DELETE,603,590,AVV.L
2015-11-03,GB0007365546,CLLN.L,CARILLION,GB,DELETE,602,592,CLLN.L
2015-11-03,GB0004915632,KIE.L,KIER GRP,GB,DELETE,601,594,KIE.L
2015-11-03,CH0126673539,DKSH.SW,BQPM W DKSH HOLDING,CH,DELETE,614,582,DKSH.S
2015-11-03,DE000A0D6554,NDX1.DE,BCF NDXG. BCF NORDEX,DE,ADD,598,631,NDXG.DE
2015-11-03,DE0005565204,DUE.DE,DUEG. DEW DUERR,DE,ADD,594,628,DUEG.DE
2015-11-03,IT0004998065,ANIM.MI,BLLJ G ANIMA HOLDING IT,IT,ADD,593,610,ANIM.MI
2015-11-03,DE0005909006,GBF.DE,GBFG. BILFINGER,DE,ADD,591,632,GBFG.DE
2015-11-03,GB00B2QPKJ12,FRES.L,BQPKJ EB FRESNILLO,GB,ADD,590,648,FRES.L
2015-11-03,AT0000809058,IMFI.VI,IMMOFINANZ,AT,ADD,578,601,IMFI.VI
2015-11-03,ES0184933812,ZOT.MC,ZARDOYA OTIS,ES,ADD,572,604,ZOT.MC
2015-11-03,ES0125220311,ANA.MC,ACCIONA S.A.,ES,ADD,562,608,ANA.MC
2015-11-03,FR0000121147,FGR.PA,FAURECIA,FR,ADD,538,606,EPED.PA
2015-11-03,SE0001493776,AAK.ST,BLCB BI AAK SE,SE,ADD,600,613,AAK.ST
2016-02-01,GRS323003012,EURBr.AT,BYZT Br. EUROBANK ERGASIAS GR EUR,AT,DELETE,611,529,EURBr.AT
2016-02-01,JE00BJT32513,KWE.L,BJT RM KENNEDY WILSON EU.RLST.,GB,DELETE,613,600,KWE.L
2016-02-01,IT0000784196,BPSI.MI,BCA POPOLARE DI SONDRIO,IT,DELETE,618,586,BPSI.MI
2016-02-01,DE0006204407,KU2G.DE,KUG. KUKA AG,DE,DELETE,624,599,KU2G.DE
2016-02-01,NL0010558797,OCI.AS,BDTZK C OCI,NL,DELETE,631,564,OCI.AS
2016-02-01,IT0000068525,SPMI.MI,SAIPEM,IT,DELETE,923,584,SPMI.MI
2016-02-01,GRS003003027,NBGr.AT,BZNMH NBGr. NATIONAL BANK OF GREECE GR,AT,DELETE,671,591,NBGr.AT
2016-02-01,GB00B1QH8P22,SPD.L,BQHP BQHP SPORTS DIRECT INTERNATIONAL,GB,DELETE,677,578,SPD.L
2016-02-01,GB00BZ1G4322,MRON.L,BZG C MELROSE INDUSTRIES,GB,DELETE,858,386,MRON.L
2016-02-01,GB0001859296,BVS.L,BOVIS HOMES GRP,GB,DELETE,609,597,BVS.L
2016-02-01,GB00B0YG1K06,RTN.L,BYGK BYGK RESTAURANT GRP,GB,DELETE,660,592,RTN.L
2016-02-01,BE0003818359,GLPG.AS,BQV W GALAPAGOS BE,BE,DELETE,605,568,GLPG.AS
2016-02-01,IT0001250932,HRA.MI,HERA,IT,ADD,577,634,HRA.MI
2016-02-01,DE0003304002,SOW.DE,SOWG. SOFTWARE,DE,ADD,599,681,SOWG.DE
2016-02-01,FR0000031122,AF.PA,AIR ANCE-KLM,FR,ADD,569,619,AIRF.PA
2016-02-01,CH0267291224,SRCG.SW,BVSS Z SUNRISE,CH,ADD,570,603,SRCG.S
2016-02-01,IT0004965148,MONC.MI,BGLP H MONCLER IT,IT,ADD,575,629,MONC.MI
2016-02-01,DK0060634707,RBREW.CO,BXZX ROYAL UNIBREW DK,DK,ADD,578,621,RBREW.CO
2016-02-01,IT0003849244,CPRI.MI,BBR DAVIDE CAMPARI,IT,ADD,574,611,CPRI.MI
2016-02-01,GB00B2QPKJ12,FRES.L,BQPKJ EB FRESNILLO,GB,ADD,584,612,FRES.L
2016-02-01,JE00B6T5S470,POLYP.L,BTS V POLYMETAL INTERNATIONAL,GB,ADD,593,605,POLYP.L
2016-02-01,GB00BNLPYF73,SPI.L,BNLPYF OJ SPIRE HEALTHCARE GROUP,GB,ADD,595,627,SPI.L
2016-02-01,SE0002683557,LOOM-B.ST,BKKL ES LOOMIS B,SE,ADD,597,610,LOOMb.ST
2016-02-01,DE0007480204,DEQ.DE,QGn. DEUTSCHE OSHOP EUR,DE,ADD,581,606,DEQGn.DE
2016-05-02,GB00B8VZXT93,CRST.L,BVZXT LH CREST NICHOLSON HOLDINGS,GB,DELETE,601,581,CRST.L
2016-05-02,GB0009292243,VCT.L,VICTREX,GB,DELETE,635,583,VCTX.L
2016-05-02,AT0000A18XM4,AMS.SW,BPF AMS AG,CH,DELETE,622,527,AMS.S
2016-05-02,GRS323003012,EURBr.AT,BYZT Br. EUROBANK ERGASIAS GR EUR,AT,DELETE,614,599,EURBr.AT
2016-05-02,CH0000816824,OERL.SW,OC OERLIKON,CH,DELETE,610,585,OERL.S
2016-05-02,GB00B1VYCH82,TCG.L,BVYCH BBLB THOMAS COOK GRP,GB,DELETE,607,596,TCG.L
2016-05-02,GB00B0WMWD03,QQ.L,BWMWD BWMWD QINETIQ GRP,GB,ADD,600,602,QQ.L
2016-05-02,ES0184933812,ZOT.MC,ZARDOYA OTIS,ES,DELETE,612,580,ZOT.MC
