date,ric,ticker,name,Country
2024-01-02,CGCBV.HE,CGCBV.HE,CARGOTEC CORPORATION,FI
2024-01-02,SECTb.ST,SECTb.ST,SECTRA 'B',SE
2024-01-02,ISOS.PA,ISOS.PA,IPSOS,FR
2024-01-02,SRBNK.OL,SRBNK.OL,SPAREBANK 1 SR-BANK ASA,NO
2024-01-02,OSBO.L,OSBO.L,OSB GROUP,GB
2024-01-02,EMBRACb.ST,EMBRACb.ST,EMBRACER GROUP,SE
2024-02-01,GFTU_u.L,GFTU_u.L,GRAFTON GRP,GB
2024-02-01,INDV.L,INDV.L,INDIVIOR,GB
2024-02-01,NETW.L,NETW.L,NETWORK INTERNATIONAL HOLDINGS,GB
2024-02-01,SCHA.OL,SCHA.OL,SCHIBSTED GRUPPEN,NO
2024-03-01,RDW.L,RDW.L,REDROW,GB
2024-03-01,ALKb.CO,ALKb.CO,ALK-ABELLO B,DK
2024-03-01,MORG.DE,MOR.DE,MORPHOSYS,DE
2024-03-01,VOPA.AS,VOPA.AS,VOPAK,NL
2024-03-01,BDXP.WA,BDXP.WA,BUDIMEX,PL
2024-03-01,VOLCARb.ST,VOLCARb.ST,VOLVO CAR B,SE
2024-03-01,FUGR.AS,FUGR.AS,FUGRO,NL
2024-03-01,TIGOsdb.ST,TIGOsdb.ST,MILLICOM INTL.CELU. SDR,SE
2024-04-02,WALLb.ST,WALLb.ST,WALLENSTAM B,SE
2024-04-02,SPMI.MI,SPMI.MI,SAIPEM,IT
2024-05-01,ALRR.WA,ALRR.WA,ALIOR BANK,PL
2024-05-01,EMBRACb.ST,EMBRACb.ST,EMBRACER GROUP,SE
2024-05-01,NEOEN.PA,NEOEN.PA,NEOEN SA,FR
2024-05-01,IDSI.L,IDSI.L,INTERNATIONAL DISTRIBUTIONS SERVICES,GB
2024-05-01,UBIP.PA,UBIP.PA,UBISOFT ENTERTAINMENT,FR
2024-06-03,BDXP.WA,BDXP.WA,BUDIMEX,PL
2024-06-03,SWECb.ST,SWECb.ST,SWECO 'B',SE
2024-06-03,RDW.L,RDW.L,REDROW,GB
2024-06-03,WALLb.ST,WALLb.ST,WALLENSTAM B,SE
2024-07-01,NETW.L,NETW.L,NETWORK INTERNATIONAL HOLDINGS,GB
2024-07-01,TOP.CO,TOP.CO,TOPDANMARK,DK
2024-07-01,SRBNK.OL,SRBNK.OL,SPAREBANK 1 SR-BANK ASA,NO
2024-07-01,ALRR.WA,ALRR.WA,ALIOR BANK,PL
2024-08-01,VLOF.PA,VLOF.PA,VALEO,FR
2024-08-01,GFTU_u.L,GFTU_u.L,GRAFTON GRP,GB
2024-08-01,OSBO.L,OSBO.L,OSB GROUP,GB
2024-08-01,PLUSP.L,PLUSP.L,PLUS500,GB
2024-09-02,ROO.L,ROO.L,DELIVEROO A,GB
2024-09-02,TCAPI.L,TCAPI.L,TP ICAP,GB
2024-09-02,ALRR.WA,ALRR.WA,ALIOR BANK,PL
2024-10-01,FLUI.MC,FLUI.MC,FLUIDRA,ES
2024-10-01,VLOF.PA,VLOF.PA,VALEO,FR
2024-11-01,EMBRACb.ST,EMBRACb.ST,EMBRACER GROUP,SE
2024-11-01,SCHA.OL,SCHA.OL,SCHIBSTED GRUPPEN,NO
2024-11-01,CGCBV.HE,CGCBV.HE,CARGOTEC CORPORATION,FI
2024-11-01,CEY.L,CEY.L,CENTAMIN,GB
2024-11-01,TRNT.L,TRNT.L,TRAINLINE PLC,GB
