Creation_Date;Index_Symbol;Index_Name;Index ISIN;Internal_Key;ISIN;RIC;Instrument_Name;Country;Currency;Exchange;Index Membership;FF Mcap (MEUR);Rank (FINAL);Rank (PREVIOUS);Comment;Rank 2 (FINAL);Rank 2 (PREVIOUS)
20240402;SXXP;STOXX Europe 600;EU0009658202;465191;DK0062498333;NOVOb.CO;NOVO NORDISK B;DK;DKK;NASDAQ Copenhagen;Large;383383.957186494;1;1;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;546078;NL0010273215;ASML.AS;ASML HLDG;NL;EUR;Euronext Amsterdam;Large;356509.3604916;2;2;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;461669;CH0038863350;NESN.S;NESTLE;CH;CHF;Six Swiss Exchange;Large;262814.221242;3;3;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;454005;FR0000121014;LVMH.PA;LVMH MOET HENNESSY;FR;EUR;Euronext Paris;Large;214610.345508401;4;4;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;B09CBL;GB00BP6MXD84;SHEL.AS;SHELL;GB;EUR;Euronext Amsterdam;Large;200089.12519534;5;6;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;476361;DE0007164600;SAPG.DE;SAP;DE;EUR;XETRA;Large;195801.795657775;6;7;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;098952;GB0009895292;AZN.L;ASTRAZENECA;GB;GBP;London SE;Large;193612.772168495;7;8;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;477408;CH0012005267;NOVN.S;NOVARTIS;CH;CHF;Six Swiss Exchange;Large;184081.247410773;8;5;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;474577;CH0012032048;ROG.S;ROCHE HLDG P;CH;CHF;Six Swiss Exchange;Large;165899.433098253;9;9;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;490541;FR0000120271;TTEF.PA;TOTALENERGIES;FR;EUR;Euronext Paris;Large;151493.14570478;10;10;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;040054;GB0005405286;HSBA.L;HSBC;GB;GBP;London SE;Large;138075.348733207;11;11;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;480710;DE0007236101;SIEGn.DE;SIEMENS;DE;EUR;XETRA;Large;132535.9616;12;12;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;483410;FR0000121972;SCHN.PA;SCHNEIDER ELECTRIC;FR;EUR;Euronext Paris;Large;120095.0430806;13;13;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;091321;GB00B10RZP78;ULVR.L;UNILEVER PLC;GB;GBP;London SE;Large;117021.276672428;14;14;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;401632;DE0008404005;ALVG.DE;ALLIANZ;DE;EUR;XETRA;Large;108819.5334774;15;16;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;453478;FR0000120321;OREP.PA;L'OREAL;FR;EUR;Euronext Paris;Large;105879.17858539;16;15;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;477518;FR0000120578;SASY.PA;SANOFI;FR;EUR;Euronext Paris;Large;104289.659736747;17;17;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;013849;GB0007980591;BP.L;BP;GB;GBP;London SE;Large;102742.753339357;18;19;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;401140;FR0000120073;AIRP.PA;AIR LIQUIDE;FR;EUR;Euronext Paris;Large;101150.7325602;19;18;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;401225;NL0000235190;AIR.PA;AIRBUS;FR;EUR;Euronext Paris;Large;100144.342776237;20;20;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;478511;CH0244767585;UBSG.S;UBS GROUP;CH;CHF;Six Swiss Exchange;Large;91442.5059496791;21;21;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;037178;GB00BN7SWP63;GSK.L;GSK;GB;GBP;London SE;Large;86209.6581478118;22;22;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;441842;FR0000052292;HRMS.PA;HERMES INTERNATIONAL;FR;EUR;Euronext Paris;Large;83175.817187736;23;23;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;476776;FR0000073272;SAF.PA;SAFRAN;FR;EUR;Euronext Paris;Large;79667.5922307093;24;28;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;511938;DE0005557508;DTEGn.DE;DEUTSCHE TELEKOM;DE;EUR;XETRA;Large;78020.624422314;25;27;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;039600;GB0002374006;DGE.L;DIAGEO;GB;GBP;London SE;Large;76439.5635605825;26;25;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;073087;GB00B2B0DG97;REL.L;RELX PLC;GB;GBP;London SE;Large;76415.7772047883;27;24;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;473821;CH0210483332;CFR.S;CIE FINANCIERE RICHEMONT;CH;CHF;Six Swiss Exchange;Large;75988.2261937818;28;26;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;499187;CH0011075394;ZURN.S;ZURICH INSURANCE GROUP;CH;CHF;Six Swiss Exchange;Large;73166.6024991262;29;29;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;407228;ES0113900J37;SAN.MC;BCO SANTANDER;ES;EUR;BME Exchange;Large;71555.353513298;30;34;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;413366;FR0000131104;BNPP.PA;BNP PARIBAS;FR;EUR;Euronext Paris;Large;71408.7974519036;31;36;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;481808;FR0000125486;SGEF.PA;VINCI;FR;EUR;Euronext Paris;Large;70018.19314116;32;30;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;408580;CH0012221716;ABBN.S;ABB;CH;CHF;Six Swiss Exchange;Large;69618.1623249492;33;31;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;442464;ES0144580Y14;IBE.MC;IBERDROLA;ES;EUR;BME Exchange;Large;67419.4890727655;34;35;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;458887;FR0000120628;AXAF.PA;AXA;FR;EUR;Euronext Paris;Large;66487.908681036;35;33;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;550190;ES0113211835;BBVA.MC;BCO BILBAO VIZCAYA ARGENTARIA;ES;EUR;BME Exchange;Large;64450.8617952;36;43;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;430376;FR0000121667;ESLX.PA;ESSILORLUXOTTICA;FR;EUR;Euronext Paris;Large;64220.0229965952;37;37;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;071887;GB0007188757;RIO.L;RIO TINTO;GB;GBP;London SE;Large;62982.8968411075;38;32;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;461075;DE0008430026;MUVGn.DE;MUENCHENER RUECK;DE;EUR;XETRA;Large;61724.544245;39;39;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;423244;IT0005239360;CRDI.MI;UNICREDIT;IT;EUR;Borsa Italiana;Large;60488.727196275;40;40;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;433560;NL00150001Q9;STLAM.MI;STELLANTIS;IT;EUR;Borsa Italiana;Large;60272.0607575418;41;41;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;425240;DE0007100000;MBGn.DE;MERCEDES-BENZ GROUP;DE;EUR;XETRA;Large;59034.0111875911;42;38;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;028758;GB0002875804;BATS.L;BRITISH AMERICAN TOBACCO;GB;GBP;London SE;Large;56407.0989110559;43;42;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;018270;IE0001827041;CRH.L;CRH;GB;GBP;London SE;Large;55104.5853369088;44;44;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;407683;IT0000072618;ISP.MI;INTESA SANPAOLO;IT;EUR;Borsa Italiana;Large;54254.4107672062;45;46;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;711131;ES0148396007;ITX.MC;Industria de Diseno Textil SA;ES;EUR;BME Exchange;Large;51868.949476344;46;49;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;475531;BE0974293251;ABI.BR;ANHEUSER-BUSCH INBEV;BE;EUR;Euronext Brussels;Large;50747.7082744502;47;45;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;GB10B3;JE00B4T3BW64;GLEN.L;GLENCORE PLC;GB;GBP;London SE;Large;50624.997074235;48;54;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;095298;GB00B0SWJX34;LSEG.L;LONDON STOCK EXCHANGE;GB;GBP;London SE;Large;50511.9194045809;49;47;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;448816;NL0011821202;INGA.AS;ING GRP;NL;EUR;Euronext Amsterdam;Large;50336.1316988342;50;55;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;053315;GB00BD6K4575;CPG.L;COMPASS GRP;GB;GBP;London SE;Large;48511.5385450756;51;51;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;012715;GB0002634946;BAES.L;BAE SYSTEMS;GB;GBP;London SE;Large;47794.4033068872;52;53;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;579802;IT0003128367;ENEI.MI;ENEL;IT;EUR;Borsa Italiana;Large;47534.5957378935;53;48;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;408348;DE000BASF111;BASFn.DE;BASF;DE;EUR;XETRA;Large;47241.19814052;54;59;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;IT509P;NL0011585146;RACE.MI;FERRARI;IT;EUR;Borsa Italiana;Large;47226.4224196688;55;50;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;024282;GB00BDR05C01;NG.L;NATIONAL GRID;GB;GBP;London SE;Large;46377.9424056202;56;52;;;
20240402;SXXP;STOXX Europe 600;EU0009658202;NL802I;NL0012969182;ADYEN.AS;ADYEN;NL;EUR;Euronext Amsterdam;Large;44898.4875745728;57;61;;;
