date,ISIN,ticker,name,Country,event_type,rank_final,rank_prev,ric
2024-01-02,GB00B0SWJX34,LSEG.L,LONDON STOCK EXCHANGE,GB,ADD,47.0,51.0,LSEG.L
2024-01-02,GB00BDR05C01,NG.L,NATIONAL GRID,GB,ADD,50.0,52.0,NG.L
2024-01-02,IT0005239360,CRDI.MI,UNICREDIT,IT,DELETE,53.0,44.0,CRDI.MI
2024-01-02,NL0013654783,PRX.AS,Prosus,NL,DELETE,58.0,46.0,PRX.AS
2024-02-01,IT0005239360,CRDI.MI,UNICREDIT,IT,ADD,46.0,53.0,CRDI.MI
2024-02-01,IT0000072618,ISP.MI,INTESA SANPAOLO,IT,ADD,49.0,57.0,ISP.MI
2024-02-01,IE0001827041,CRH.L,CRH,GB,ADD,50.0,55.0,CRH.L
2024-02-01,GB00BDR05C01,NG.L,NATIONAL GRID,GB,DELETE,51.0,50.0,NG.L
2024-02-01,NL0011821202,INGA.AS,ING GRP,NL,DELETE,53.0,48.0,INGA.AS
2024-02-01,DE0006231004,IFXGn.DE,INFINEON TECHNOLOGIES,DE,DELETE,55.0,44.0,IFXGn.DE
2024-03-01,ES0148396007,ITX.MC,Industria de Diseno Textil SA,ES,ADD,49.0,54.0,ITX.MC
2024-03-01,NL0011585146,RACE.MI,FERRARI,IT,ADD,50.0,65.0,RACE.MI
2024-03-01,JE00B4T3BW64,GLEN.L,GLENCORE PLC,GB,DELETE,54.0,43.0,GLEN.L
2024-03-01,GB00B24CGK77,RKT.L,RECKITT BENCKISER GRP,GB,DELETE,57.0,44.0,RKT.L
2024-04-02,NL0011585146,RACE.MI,FERRARI,IT,DELETE,55.0,50.0,RACE.MI
2024-04-02,IT0003128367,ENEI.MI,ENEL,IT,DELETE,53.0,48.0,ENEI.MI
2024-04-02,JE00B4T3BW64,GLEN.L,GLENCORE PLC,GB,ADD,48.0,54.0,GLEN.L
2024-04-02,NL0011821202,INGA.AS,ING GRP,NL,ADD,50.0,55.0,INGA.AS
2024-05-01,IT0003128367,ENEI.MI,ENEL,IT,ADD,48.0,53.0,ENEI.MI
2024-05-01,GB00B0SWJX34,LSEG.L,LONDON STOCK EXCHANGE,GB,DELETE,53.0,49.0,LSEG.L
2024-06-03,NL00150001Q9,STLAM.MI,STELLANTIS,IT,DELETE,61.0,49.0,STLAM.MI
2024-06-03,GB00B0SWJX34,LSEG.L,LONDON STOCK EXCHANGE,GB,ADD,45.0,53.0,LSEG.L
2024-06-03,NL0013654783,PRX.AS,Prosus,NL,ADD,49.0,51.0,PRX.AS
2024-06-03,GB00BDR05C01,NG.L,NATIONAL GRID,GB,ADD,50.0,55.0,NG.L
2024-06-03,ES0148396007,ITX.MC,Industria de Diseno Textil SA,ES,DELETE,52.0,50.0,ITX.MC
2024-07-01,ES0148396007,ITX.MC,Industria de Diseno Textil SA,ES,ADD,49.0,52.0,ITX.MC
2024-07-01,IT0003128367,ENEI.MI,ENEL,IT,DELETE,51.0,48.0,ENEI.MI
2024-08-01,IT0003128367,ENEI.MI,ENEL,IT,ADD,47.0,51.0,ENEI.MI
2024-08-01,GB00BD6K4575,CPG.L,COMPASS GRP,GB,ADD,48.0,54.0,CPG.L
2024-08-01,DE0007100000,MBGn.DE,MERCEDES-BENZ GROUP,DE,DELETE,51.0,48.0,MBGn.DE
2024-08-01,NL0013654783,PRX.AS,Prosus,NL,DELETE,52.0,50.0,PRX.AS
2024-09-02,JE00B4T3BW64,GLEN.L,GLENCORE PLC,GB,DELETE,55.0,49.0,GLEN.L
